strand,subStrand,topic,ref,learningOutcome,grade
NUMBER AND ALGEBRA,WHOLE NUMBERS,1. Numbers up to 10 000,1.1.1,counting in hundreds/thousands,P3
,,,1.1.2,"number notation, representations and place values (thousands, hundreds, tens, ones)",P3
,,,1.1.3,reading and writing numbers in numerals and in words,P3
,,,1.1.4,comparing and ordering numbers,P3
,,,1.1.5,patterns in number sequences,P3
,,2. Addition and Subtraction,1.2.1,addition and subtraction algorithms (up to 4 digits),P3
,,,1.2.2,mental calculation involving addition and subtraction of two 2-digit numbers,P3
,,3. Multiplication and Division,1.3.1,"multiplication tables of 6, 7, 8 and 9",P3
,,,1.3.2,multiplying and dividing within the multiplication tables,P3
,,,1.3.3,division with remainder,P3
,,,1.3.4,multiplication and division algorithms (up to 3 digits by 1 digit),P3
,,,1.3.5,mental calculation involving multiplication and division within multiplication tables,P3
,FRACTIONS,1. Equivalent fractions,2.1.1,equivalent fractions,P3
,,,2.1.2,expressing a fraction in its simplest form,P3
,,,2.1.3,comparing and ordering unlike fractions with denominators of given fractions not exceeding 12,P3
,,,2.1.4,writing the equivalent fraction of a fraction given the denominator or the numerator,P3
,,2. Addition and Subtraction,2.2.1,adding and subtracting two related fractions within one whole with denominators of given fractions not exceeding 12,P3
,MONEY,1. Money,3.1.1,adding and subtracting money in decimal notation,P3
MEASUREMENT AND GEOMETRY,MEASUREMENT,"1. Length, Mass and Volume",4.1.1,measuring • length in kilometres (km) • volume of liquid in millilitres (ml),P3
,,,4.1.2,measuring length/mass/volume (of liquid) in compound units,P3
,,,4.1.3,"converting a measurement in compound units to the smaller unit, and vice versa • kilometres and metres • metres and centimetres • kilograms and grams • litres and millilitres (numbers involved should be within easy manipulation)",P3
,,2. Time,4.2.1,measuring time in seconds,P3
,,,4.2.2,"finding the starting time, finishing time or duration given the other two quantities",P3
,,,4.2.3,24-hour clock,P3
,AREA AND VOLUME,1. Area and Perimeter,5.1.1,concepts of area and perimeter of a plane figure,P3
,,,5.1.2,"measuring area in square units, cm2 and m2, excluding conversion between cm2 and m2",P3
,,,5.1.3,perimeter of • rectilinear figure • rectangle • square,P3
,,,5.1.4,area of rectangle/square,P3
,GEOMETRY,1. Angles,6.1.1,concepts of angle,P3
,,,6.1.2,"right angles, angles greater than/smaller than a right angle",P3
,,2. Perpendicular and Parallel Lines,6.2.1,perpendicular and parallel lines,P3
,,,6.2.2,drawing perpendicular and parallel lines,P3
STATISTICS,DATA REPRESENTATION AND INTERPRETATION,1. Bar Graphs,7.1.1,reading and interpreting data from bar graphs,P3
,,,7.1.2,using different scales on axis,P3
NUMBER AND ALGEBRA,WHOLE NUMBERS,1. Numbers up to 100 000,1.1.1,"number notation, representations and place values (ten thousands, thousands, hundreds, tens, ones)",P4
,,,1.1.2,reading and writing numbers in numerals and in words,P4
,,,1.1.3,comparing and ordering numbers,P4
,,,1.1.4,patterns in number sequences,P4
,,,1.1.5,"rounding numbers to the nearest 10, 100 or 1000",P4
,,,1.1.6,use of ≈,P4
,,2. Factors and Multiples,1.2.1,"factors, multiples and their relationship",P4
,,,1.2.2,determining if a 1-digit number is a factor of a given number within 100,P4
,,,1.2.3,finding the common factors of two given numbers,P4
,,,1.2.4,determining if a number is a multiple of a given 1-digit number,P4
,,,1.2.5,finding the common multiples of two given 1-digit numbers,P4
,,3. Four Operations,1.3.1,multiplication algorithm: • up to 4 digits by 1 digit • up to 3 digits by 2 digits,P4
,,,1.3.2,division algorithm (up to 4 digits by 1 digit),P4
,FRACTIONS,1. Mixed Numbers and Improper Fractions,2.1.1,"mixed numbers, improper fractions and their relationship",P4
,,2. Fraction of a Set,2.2.1,fraction as part of a set,P4
,,3. Addition and Subtraction,2.3.1,adding and subtracting fractions with denominators of given fractions not exceeding 12 and not more than two different denominators,P4
,DECIMALS,1. Decimals up to 3 decimal places,3.1.1,"notation and place values (tenths, hundredths, thousandths)",P4
,,,3.1.2,comparing and ordering decimals,P4
,,,3.1.3,expressing decimals as fractions,P4
,,,3.1.4,expressing fractions as decimals when the denominator is a factor of 10 or 100,P4
,,,3.1.5,rounding decimals to • the nearest whole number • 1 decimal place • 2 decimal places,P4
,,2. Addition and Subtraction,3.2.1,adding and subtracting decimals (up to 2 decimal places),P4
,,3. Multiplication and Division,3.3.1,multiplying and dividing decimals (up to 2 decimal places) by a 1-digit whole number,P4
,,,3.3.2,dividing a whole number by a whole number with quotient as a decimal,P4
,,,3.3.3,rounding answers to a specified degree of accuracy,P4
MEASUREMENT AND GEOMETRY,AREA AND VOLUME,1. Area and Perimeter,4.1.1,finding one dimension of a rectangle given the other dimension and its area/perimeter,P4
,,,4.1.2,finding the length of one side of a square given its area/perimeter,P4
,,,4.1.3,finding the area and perimeter of composite figures made up of rectangles and squares,P4
,GEOMETRY,1. Angles,5.1.1,using notation such as ∠ABC and ∠a to name angles,P4
,,,5.1.2,measuring angles in degrees,P4
,,,5.1.3,drawing an angle of given size,P4
,,2. Rectangle and Square,5.2.1,"properties of rectangle and square, excluding diagonal properties",P4
,,,5.2.2,drawing rectangles and squares,P4
,,3. Line Symmetry,5.3.1,identifying symmetric figures,P4
,,,5.3.2,determining whether a straight line is a line of symmetry of a symmetric figure,P4
,,,5.3.3,completing a symmetric figure with respect to a given line of symmetry on square grid,P4
,,4. Nets,5.4.1,identifying 2D representations of • cube • cuboid • cone • cylinder • prism • pyramid,P4
,,,5.4.2,drawing 2D representations of • cube • cuboid • prism • pyramid,P4
,,,5.4.3,identifying the nets of 3D solids • cube • cuboid • prism • pyramid,P4
,,,5.4.4,identifying the solid which can be formed by a given net,P4
STATISTICS,DATA REPRESENTATION AND INTERPRETATION,1. Tables and Line Graphs,6.1.1,completing a table/line graph from given data,P4
,,,6.1.2,reading and interpreting data from a table/line graph,P4
